dataTable,sample,columnIndex,column
io.moderne.ai.table.LanguageDistribution,samples/comments_language.csv,0,repositoryOrigin
io.moderne.ai.table.LanguageDistribution,samples/comments_language.csv,1,repositoryPath
io.moderne.ai.table.LanguageDistribution,samples/comments_language.csv,2,repositoryBranch
io.moderne.ai.table.LanguageDistribution,samples/comments_language.csv,3,sourceFile
io.moderne.ai.table.LanguageDistribution,samples/comments_language.csv,4,comment
io.moderne.ai.table.LanguageDistribution,samples/comments_language.csv,5,language
io.moderne.ai.table.Recommendations,samples/recommendations.csv,0,repositoryOrigin
io.moderne.ai.table.Recommendations,samples/recommendations.csv,1,repositoryPath
io.moderne.ai.table.Recommendations,samples/recommendations.csv,2,repositoryBranch
io.moderne.ai.table.Recommendations,samples/recommendations.csv,3,scmType
io.moderne.ai.table.Recommendations,samples/recommendations.csv,4,repositoryLink
io.moderne.ai.table.Recommendations,samples/recommendations.csv,5,name
io.moderne.ai.table.Recommendations,samples/recommendations.csv,6,latency
io.moderne.ai.table.Recommendations,samples/recommendations.csv,7,tokenSize
io.moderne.ai.table.Recommendations,samples/recommendations.csv,8,Recommendations
io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,0,repositoryOrigin
io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,1,repositoryPath
io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,2,repositoryBranch
io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,3,scmType
io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,4,repositoryLink
io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,5,method
io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,6,methodPattern
io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,7,query
io.moderne.java.endoflife.table.EndOfLifeDependencyReport,samples/end_of_life_dependencies.csv,0,repositoryOrigin
io.moderne.java.endoflife.table.EndOfLifeDependencyReport,samples/end_of_life_dependencies.csv,1,repositoryPath
