repositoryOrigin,repositoryPath,repositoryBranch,copyBookName,copyBookSourcePath,resolutionStatus,markedWord
github.com,moderneinc/cobol-samples,main,cobol/SM205A.cbl,K5SDB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K5SDB.CPY",RESOLVED,DATA
github.com,moderneinc/cobol-samples,main,cobol/SM205A.cbl,K501B,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K501B.CPY",RESOLVED,02
github.com,moderneinc/cobol-samples,main,cobol/SM103A.cbl,K3SCA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3SCA.CPY",RESOLVED,XXXXX082
github.com,moderneinc/cobol-samples,main,cobol/SM103A.cbl,K3OCA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3OCA.CPY",RESOLVED,XXXXX083
github.com,moderneinc/cobol-samples,main,cobol/SM103A.cbl,K3SNA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3SNA.CPY",RESOLVED,DECIMAL-POINT
github.com,moderneinc/cobol-samples,main,cobol/SM103A.cbl,K3FCA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3FCA.CPY",RESOLVED,SELECT
github.com,moderneinc/cobol-samples,main,cobol/SM103A.cbl,K3IOA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3IOA.CPY",RESOLVED,SAME
github.com,moderneinc/cobol-samples,main,cobol/SM103A.cbl,K3SML,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3SML.CPY",RESOLVED,8
github.com,moderneinc/cobol-samples,main,cobol/SM103A.cbl,K3LGE,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3LGE.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP001,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP001.CPY",RESOLVED,PST-TEST-001
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP002,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP002.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP003,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP003.CPY",RESOLVED,PST-TEST-003
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP004,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP004.CPY",RESOLVED,PST-INIT-004
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP005,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP005.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP006,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP006.CPY",RESOLVED,ADD
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP007,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP007.CPY",RESOLVED,PERFORM
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP008,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP008.CPY",RESOLVED,PERFORM
github.com,moderneinc/cobol-samples,main,cobol/SM206A.cbl,KP009,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KP009.CPY",RESOLVED,IF
github.com,moderneinc/cobol-samples,main,cobol/SM301M.cbl,KSM31,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KSM31.CPY",RESOLVED,DISPLAY
github.com,moderneinc/cobol-samples,main,cobol/SM207A.cbl,ALTLB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/ALTLB.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM207A.cbl,ALTLB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/ALTLB.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM105A.cbl,K5SDA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K5SDA.CPY",RESOLVED,DATA
github.com,moderneinc/cobol-samples,main,cobol/SM105A.cbl,K501A,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K501A.CPY",RESOLVED,02
github.com,moderneinc/cobol-samples,main,cobol/SM201A.cbl,K1FDA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1FDA.CPY",RESOLVED,LABEL
github.com,moderneinc/cobol-samples,main,cobol/SM201A.cbl,K101A,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K101A.CPY",RESOLVED,.
github.com,moderneinc/cobol-samples,main,cobol/SM201A.cbl,K101A,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K101A.CPY",RESOLVED,.
github.com,moderneinc/cobol-samples,main,cobol/SM201A.cbl,K1WKA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1WKA.CPY",RESOLVED,02
github.com,moderneinc/cobol-samples,main,cobol/SM201A.cbl,K1WKA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1WKA.CPY",RESOLVED,02
github.com,moderneinc/cobol-samples,main,cobol/SM201A.cbl,K1WKB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1WKB.CPY",RESOLVED,02
github.com,moderneinc/cobol-samples,main,cobol/SM201A.cbl,K1WKB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1WKB.CPY",RESOLVED,02
github.com,moderneinc/cobol-samples,main,cobol/SM201A.cbl,K1PRB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1PRB.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM202A.cbl,K2SEA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K2SEA.CPY",RESOLVED,PARA-1
github.com,moderneinc/cobol-samples,main,cobol/SM202A.cbl,K2PRA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K2PRA.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM202A.cbl,K2PRA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K2PRA.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM107A.cbl,K7SEA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K7SEA.CPY",RESOLVED,COPY-TEST-1
github.com,moderneinc/cobol-samples,main,cobol/SM106A.cbl,K6SCA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K6SCA.CPY",RESOLVED,CONFIGURATION
github.com,moderneinc/cobol-samples,main,cobol/SM203A.cbl,K3SNB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3SNB.CPY",RESOLVED,XXXXX051
github.com,moderneinc/cobol-samples,main,cobol/SM203A.cbl,K3FCB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3FCB.CPY",RESOLVED,SELECT
github.com,moderneinc/cobol-samples,main,cobol/SM203A.cbl,K3IOB,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K3IOB.CPY",RESOLVED,SAME
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1FDA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1FDA.CPY",RESOLVED,LABEL
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K101A,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K101A.CPY",RESOLVED,.
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1W01,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1W01.CPY",RESOLVED,PICTURE
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1W02,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1W02.CPY",RESOLVED,RCD-4
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1W03,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1W03.CPY",RESOLVED,RCD-7
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1W04,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1W04.CPY",RESOLVED,01
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1WKA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1WKA.CPY",RESOLVED,02
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1PRA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1PRA.CPY",RESOLVED,MOVE
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1SEA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1SEA.CPY",RESOLVED,SECT-COPY-1
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1SEA,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1SEA.CPY",RESOLVED,SECT-COPY-1
github.com,moderneinc/cobol-samples,main,cobol/SM101A.cbl,K1P01,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/K1P01.CPY",RESOLVED,RCD-1
github.com,moderneinc/cobol-samples,main,cobol/SM401M.cbl,KSM41,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KSM41.CPY",RESOLVED,DISPLAY
github.com,moderneinc/cobol-samples,main,cobol/SM208A.cbl,KK208A,"/Users/jon/Projects/github/moderneinc/cobol-samples/cobol/copybooks/KK208A.CPY",RESOLVED,MOVE
