repositoryOrigin,repositoryPath,repositoryBranch,dependent,dependentType,action,dependency,dependencyType,dependencyMissing,actionMetadata
github.com,moderneinc/cobol-samples,main,IC226A,COBOL,CALL,IC226A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC233A,COBOL,CALL,IC233A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC225A,COBOL,CALL,IC225A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC209A,COBOL,CALL,IC210A,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM202A,COBOL,COPY,K2SEA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM202A,COBOL,COPY,K2PRA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC205A,COBOL,CALL,IC206A,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM107A,COBOL,COPY,K7SEA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC213A,COBOL,CALL,IC214A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC213A,COBOL,CALL,IC215A,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM106A,COBOL,COPY,K6SCA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC101A,COBOL,CALL,IC102A,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM203A,COBOL,COPY,K3SNB,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM203A,COBOL,COPY,K3FCB,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM203A,COBOL,COPY,K3IOB,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC228A,COBOL,CALL,IC228A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC401M,COBOL,CALL,NESTEDPROG,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC401M,COBOL,CALL,FIC401M,COBOL,false,
github.com,moderneinc/cobol-samples,main,OBIC2A,COBOL,CALL,OBIC3A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC224A,COBOL,CALL,IC224A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC110A,COBOL,CALL,IC111A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC106A,COBOL,CALL,IC107A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC203A,COBOL,CALL,IC204A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC203A,COBOL,CALL,IC205A,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1FDA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K101A,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1W01,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1W02,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1W03,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1W04,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1WKA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1PRA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1SEA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM101A,COBOL,COPY,K1P01,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM401M,COBOL,COPY,KSM41,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC235A,COBOL,CALL,IC235A-2,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC235A,COBOL,CALL,IC235A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM208A,COBOL,COPY,KK208A,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC223A,COBOL,CALL,IC223A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM103A,COBOL,COPY,K3SCA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM103A,COBOL,COPY,K3OCA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM103A,COBOL,COPY,K3SNA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM103A,COBOL,COPY,K3FCA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM103A,COBOL,COPY,K3IOA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM103A,COBOL,COPY,K3SML,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM103A,COBOL,COPY,K3LGE,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC201A,COBOL,CALL,IC202A,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM206A,COBOL,COPY,KP001,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM206A,COBOL,COPY,KP002,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM206A,COBOL,COPY,KP003,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM206A,COBOL,COPY,KP004,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM206A,COBOL,COPY,KP005,COPYBOOK,false,
