repositoryOrigin,repositoryPath,repositoryBranch,buildTool,groupId,artifactId,version,dependencyGroupId,dependencyArtifactId,dependencyVersion,direct
github.com,joke/spock-mockable,main,Gradle,,spring,,org.springframework.boot,spring-boot-starter-web,2.7.5,true
github.com,joke/spock-mockable,main,Gradle,,spring,,org.springframework.boot,spring-boot-dependencies,2.7.5,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,com.google.auto.service,auto-service-annotations,1.0.1,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,org.junit.platform,junit-platform-launcher,1.9.0,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,net.bytebuddy,byte-buddy-agent,1.13.0,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,io.github.joke,dependencies,2.3.3-SNAPSHOT,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,org.junit.platform,junit-platform-engine,1.9.0,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,org.apache.groovy,groovy,4.0.7,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,org.projectlombok,lombok,1.18.26,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,net.bytebuddy,byte-buddy,1.14.0,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,com.google.dagger,dagger,2.44.2,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,org.spockframework,spock-core,2.3-groovy-4.0,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,org.slf4j,slf4j-api,2.0.6,true
github.com,joke/spock-mockable,main,Gradle,,spock-mockable,,org.jetbrains,annotations,24.0.0,true
github.com,joke/spock-mockable,main,Gradle,,kotlin,,org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.20,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,org.jetbrains.kotlin,kotlin-test-junit,1.4.31,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,org.slf4j,slf4j-simple,1.7.30,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,io.cucumber,cucumber-junit,6.10.3,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,org.jetbrains.kotlin,kotlin-bom,1.4.31,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,io.cucumber,cucumber-java,6.10.3,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,org.jetbrains.kotlin,kotlin-test,1.4.31,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.4.31,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,io.cucumber,cucumber-java8,6.10.3,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,org.jetbrains.kotlin,kotlin-reflect,1.4.31,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,org.slf4j,jul-to-slf4j,1.7.30,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,org.slf4j,slf4j-api,1.7.30,true
github.com,"dave99galloway/cucumberTest",main,Gradle,,cucumberTest,,com.google.guava,guava,30.0-jre,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-instrumentation-preprocess-test-target",,"software.amazon.disco.disco-java-agent",disco-java-agent-core,0.13.0,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-instrumentation-preprocess-test-target",,"software.amazon.disco.disco-java-agent","disco-java-agent-plugin-api",0.13.0,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-instrumentation-preprocess-test-target",,"software.amazon.disco.disco-java-agent",disco-java-agent-api,0.13.0,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-instrumentation-preprocess-test-plugin",,"software.amazon.disco.disco-java-agent",disco-java-agent-core,0.13.0,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-instrumentation-preprocess-test-plugin",,"software.amazon.disco.disco-java-agent","disco-java-agent-plugin-api",0.13.0,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-instrumentation-preprocess-test-plugin",,"software.amazon.disco.disco-java-agent",disco-java-agent-api,0.13.0,true
github.com,awslabs/disco,master,Gradle,,disco-java-agent-core,,"software.amazon.disco.disco-java-agent","disco-java-agent-plugin-api",0.13.0,true
github.com,awslabs/disco,master,Gradle,,disco-java-agent-core,,"software.amazon.disco.disco-java-agent",disco-java-agent-api,0.13.0,true
github.com,awslabs/disco,master,Gradle,,disco-java-agent-core,,"software.amazon.disco.disco-java-agent","disco-java-agent-inject-api",0.13.0,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-inject-api",,"software.amazon.disco.disco-java-agent",disco-java-agent-api,0.13.0,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-plugin-api",,org.ow2.asm,asm-commons,9.2,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-plugin-api",,org.ow2.asm,asm,9.2,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-plugin-api",,org.ow2.asm,asm-tree,9.2,true
github.com,awslabs/disco,master,Gradle,,"disco-java-agent-plugin-api",,net.java.dev.jna,jna,5.8.0,true
