repositoryOrigin,repositoryPath,repositoryBranch,buildTool,groupId,artifactId,version,dependencyGroupId,dependencyArtifactId,dependencyVersion,direct
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,org.openrewrite,rewrite-gradle,8.5.0-SNAPSHOT,true
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,org.openrewrite,rewrite-groovy,8.5.0-SNAPSHOT,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,org.openrewrite,rewrite-java,8.5.0-SNAPSHOT,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,org.openrewrite,rewrite-yaml,8.5.0-SNAPSHOT,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,org.openrewrite,rewrite-core,8.5.0-SNAPSHOT,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.dataformat",jackson-dataformat-smile,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-databind,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-annotations,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-core,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.module","jackson-module-parameter-names",2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-databind,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-annotations,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-core,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-databind,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-annotations,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-annotations,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,org.jetbrains,annotations,24.0.1,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,org.openrewrite,rewrite-xml,8.5.0-SNAPSHOT,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,org.openrewrite,rewrite-core,8.5.0-SNAPSHOT,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.dataformat",jackson-dataformat-smile,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-databind,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,"com.fasterxml.jackson.core",jackson-annotations,2.15.2,false
github.com,"openrewrite/rewrite-micronaut",main,Gradle,,rewrite-micronaut,,com.fasterxml.jackson,jackson-bom,2.15.2,false
