repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,cve,packageName,version,fixedVersion,lastAffectedVersion,upgradeable,summary,severity,depth,cwes,direct,dependencyPath
github.com,acme/storefront-web,main,package.json,CVE-2019-10744,lodash,4.17.11,4.17.12,,true,Prototype Pollution in lodash,CRITICAL,0,CWE-1321;CWE-20,true,dependencies
github.com,acme/storefront-web,main,package.json,CVE-2019-10742,axios,0.18.0,0.18.1,,true,Denial of Service in axios,HIGH,0,CWE-20;CWE-755,true,dependencies
github.com,acme/storefront-web,main,package.json,CVE-2024-43788,webpack,5.90.3,5.94.0,,false,Webpack's AutoPublicPathRuntimeModule has a DOM Clobbering Gadget that leads to XSS,MODERATE,0,CWE-79,true,devDependencies
github.com,acme/storefront-web,main,package.json,CVE-2021-3807,ansi-regex,5.0.0,5.0.1,,true,Inefficient Regular Expression Complexity in chalk/ansi-regex,HIGH,3,CWE-1333;CWE-697,false,dependencies > react-scripts@4.0.3 > @svgr/webpack@5.5.0 > strip-ansi@6.0.0
github.com,acme/storefront-web,main,package.json,CVE-2023-26115,word-wrap,1.2.3,1.2.4,,true,word-wrap vulnerable to Regular Expression Denial of Service,MODERATE,2,CWE-1333,false,devDependencies > eslint@7.32.0 > optionator@0.9.1
github.com,acme/storefront-web,main,package.json,CVE-2022-38900,decode-uri-component,0.2.0,0.2.1,,true,decode-uri-component vulnerable to Denial of Service (DoS),HIGH,2,CWE-20,false,dependencies > query-string@6.14.1 > split-on-first@1.1.0
github.com,acme/storefront-web,main,package.json,CVE-2024-21538,cross-spawn,7.0.3,7.0.5,,true,Regular Expression Denial of Service (ReDoS) in cross-spawn,HIGH,2,CWE-1333,false,devDependencies > jest@27.5.1 > execa@5.1.1
github.com,acme/storefront-web,main,packages/checkout/package.json,CVE-2015-9235,jsonwebtoken,4.2.1,4.2.2,,true,Verification Bypass in jsonwebtoken,CRITICAL,0,CWE-20,true,dependencies
github.com,acme/storefront-web,main,packages/checkout/package.json,CVE-2017-1000048,qs,6.2.0,6.2.3,,true,Prototype Pollution Protection Bypass in qs,HIGH,1,CWE-20,false,dependencies > express@4.16.4
github.com,acme/storefront-web,main,packages/checkout/package.json,CVE-2024-47764,cookie,0.6.0,0.7.0,,false,"cookie accepts cookie name, path, and domain with out of bounds characters",LOW,1,CWE-74,false,dependencies > express@4.18.2
github.com,acme/storefront-web,main,packages/checkout/package.json,CVE-2021-3807,ansi-regex,4.1.0,4.1.1,,true,Inefficient Regular Expression Complexity in chalk/ansi-regex,HIGH,2,CWE-1333;CWE-697,false,devDependencies > eslint@7.32.0 > strip-ansi@5.2.0
github.com,acme/api-gateway,main,package.json,CVE-2024-45590,body-parser,1.20.1,1.20.3,,true,body-parser vulnerable to denial of service when url encoding is enabled,HIGH,0,CWE-405,true,dependencies
github.com,acme/api-gateway,main,package.json,CVE-2014-6393,express,4.4.0,4.5.0,,false,No Charset in Content-Type Header in express,MODERATE,0,CWE-79,true,dependencies
github.com,acme/api-gateway,main,package.json,CVE-2023-34104,fast-xml-parser,4.2.0,4.2.4,,true,fast-xml-parser vulnerable to Regex Injection via Doctype Entities,HIGH,0,CWE-1333;CWE-400,true,dependencies
github.com,acme/api-gateway,main,package.json,CVE-2026-25896,fast-xml-parser,4.2.0,4.5.4,,false,fast-xml-parser has an entity encoding bypass via regex injection in DOCTYPE entity names,CRITICAL,0,CWE-185,true,dependencies
github.com,acme/api-gateway,main,package.json,CVE-2016-10542,ws,1.1.0,1.1.1,,true,DoS due to excessively large websocket message in ws,HIGH,1,CWE-400,false,dependencies > socket.io@1.7.4
github.com,acme/api-gateway,main,package.json,CVE-2021-43138,async,2.6.3,2.6.4,,true,Prototype Pollution in async,HIGH,2,CWE-1321,false,dependencies > aws-sdk@2.1000.0 > sax@1.2.1
github.com,acme/api-gateway,main,package.json,CVE-2023-0842,xml2js,0.4.23,0.5.0,,false,xml2js is vulnerable to prototype pollution,MODERATE,2,CWE-1321,false,dependencies > aws-sdk@2.1000.0 > xmlbuilder@11.0.1
github.com,acme/api-gateway,main,package.json,CVE-2015-8860,tar,1.0.3,2.0.0,,false,Symlink Arbitrary File Overwrite in tar,HIGH,3,CWE-59,false,devDependencies > node-gyp@3.8.0 > tar-pack@3.4.1 > fstream@1.0.12
github.com,acme/api-gateway,main,services/billing/package.json,CVE-2017-1000048,qs,6.0.2,6.0.4,,true,Prototype Pollution Protection Bypass in qs,HIGH,1,CWE-20,false,dependencies > express@4.15.2
github.com,acme/api-gateway,main,services/billing/package.json,CVE-2024-45590,body-parser,1.19.0,1.20.3,,false,body-parser vulnerable to denial of service when url encoding is enabled,HIGH,1,CWE-405,false,dependencies > express@4.17.1
github.com,acme/api-gateway,main,services/billing/package.json,CVE-2018-3721,lodash,4.17.4,4.17.5,,true,Prototype Pollution in lodash,MODERATE,0,CWE-1321;CWE-471,true,dependencies
github.com,acme/admin-console,develop,package.json,CVE-2019-19919,handlebars,4.1.2,4.3.0,,false,Prototype Pollution in handlebars,CRITICAL,0,CWE-1321;CWE-74,true,dependencies
github.com,acme/admin-console,develop,package.json,CVE-2019-20920,handlebars,4.1.2,4.5.3,,false,Arbitrary Code Execution in Handlebars,HIGH,0,CWE-94,true,dependencies
github.com,acme/admin-console,develop,package.json,CVE-2017-1000228,ejs,2.5.2,2.5.5,,true,ejs is vulnerable to remote code execution due to weak input validation,CRITICAL,0,CWE-20,true,dependencies
github.com,acme/admin-console,develop,package.json,CVE-2023-28154,webpack,5.70.0,5.76.0,,false,Cross-realm object access in Webpack 5,CRITICAL,0,,true,devDependencies
github.com,acme/admin-console,develop,package.json,CVE-2018-1109,braces,2.3.0,2.3.1,,true,Regular Expression Denial of Service (ReDoS) in braces,LOW,3,CWE-400,false,devDependencies > webpack@4.46.0 > watchpack@1.7.5 > micromatch@3.1.10
github.com,acme/admin-console,develop,package.json,CVE-2021-3807,ansi-regex,3.0.0,3.0.1,,true,Inefficient Regular Expression Complexity in chalk/ansi-regex,HIGH,2,CWE-1333;CWE-697,false,devDependencies > webpack-cli@3.3.12 > chalk@2.4.2
github.com,acme/admin-console,develop,package.json,CVE-2015-8855,semver,4.3.1,4.3.2,,true,Regular Expression Denial of Service in semver,HIGH,2,CWE-1333,false,devDependencies > node-sass@4.14.1 > node-gyp@3.8.0
github.com,acme/admin-console,develop,package.json,CVE-2026-12590,body-parser,1.20.3,1.20.6,,true,body-parser vulnerable to denial of service when invalid limit value silently disables size enforcement,LOW,1,CWE-770,false,dependencies > express@4.19.2
github.com,acme/admin-console,develop,package.json,CVE-2017-1000048,qs,5.2.0,6.0.4,,false,Prototype Pollution Protection Bypass in qs,HIGH,2,CWE-20,false,dependencies > body-parser@1.15.2 > raw-body@2.1.7
github.com,acme/api-gateway,main,package.json,CVE-2016-10518,ws,0.8.1,1.0.1,,false,Remote Memory Disclosure in ws,LOW,2,CWE-201,false,dependencies > engine.io@1.8.5
github.com,acme/storefront-web,main,packages/checkout/package.json,CVE-2015-8861,handlebars,3.0.3,4.0.0,,false,Cross-Site Scripting in handlebars,MODERATE,1,CWE-79,false,dependencies > express-handlebars@2.0.1
github.com,acme/api-gateway,main,package.json,CVE-2023-28155,request,2.88.2,,2.88.2,false,Server-Side Request Forgery in Request,MODERATE,2,CWE-918,false,dependencies > aws-sdk@2.1000.0 > request-promise@4.2.6
github.com,acme/admin-console,develop,package.json,CVE-2022-39353,xmldom,0.6.0,,0.6.0,false,xmldom allows multiple root nodes in a DOM,CRITICAL,2,CWE-1288;CWE-20,false,dependencies > jsdom@16.7.0 > saxes@5.0.1
github.com,acme/storefront-web,main,package.json,CVE-2024-29415,ip,2.0.0,,2.0.1,false,ip SSRF improper categorization in isPublic,HIGH,3,CWE-918,false,devDependencies > react-scripts@4.0.3 > webpack-dev-server@3.11.1 > internal-ip@4.3.0
