repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,method,methodPattern,query
github.com,finos/spring-bot,spring-bot-master,GITHUB,"https://github.com/finos/spring-bot/blob/spring-bot-master","new Request.Builder().url(""http://localhost/"").build()","okhttp3.Request$Builder build((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/spring-bot,spring-bot-master,GITHUB,"https://github.com/finos/spring-bot/blob/spring-bot-master","new Request.Builder().url(""http://localhost/"").build()","okhttp3.Request$Builder build((([^,]+,)*([^,]+))?)","HTTP request"
github.com,apache/maven-doxia,master,GITHUB,"https://github.com/apache/maven-doxia/blob/master","URI.create(systemId)","java.net.URI create((([^,]+,)*([^,]+))?)","HTTP request"
github.com,Netflix/photon,master,GITHUB,"https://github.com/Netflix/photon/blob/master","ByteBuffer.wrap(byteArray).order(KLVPacket.BYTE_ORDER).get()","java.nio.ByteBuffer get((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","request().withMethod(method).withPath(path)","org.mockserver.model.HttpRequest withPath((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","request().withMethod(method).withPath(path)","org.mockserver.model.HttpRequest withPath((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","request()","org.mockserver.model.HttpRequest request((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
           .withMethod(""GET"")
           .withPath(""/test-api"")
           .withHeader(""sessionToken"", ""test-token"")
           .withHeader(""Authorization"", ""test"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
           .withMethod(""GET"")
           .withPath(""/test-api"")
           .withHeader(""sessionToken"", ""test-token"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
           .withMethod(""GET"")
           .withPath(""/test-api"")
           .withHeader(""sessionToken"", ""test-token"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
           .withMethod(""GET"")
           .withPath(""/test-api"")
           .withHeader(""sessionToken"", ""test-token"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
           .withMethod(""GET"")
           .withPath(""/test-api"")
           .withHeader(""sessionToken"", ""test-token"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
           .withMethod(""GET"")
           .withPath(""/test-api"")
           .withHeader(""sessionToken"", ""test-token"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
            .withMethod(""GET"")
            .withPath(""/test-api"")
            .withQueryStringParameter(""param"", ""test-param"")
            .withHeader(""sessionToken"", ""test-token"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
            .withMethod(""GET"")
            // percentage needs to be encoded by client
            .withPath(""/test+api%25"")","org.mockserver.model.HttpRequest withPath((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
            .withMethod(""GET"")
            .withPath(""/test-api"")
            .withBody(new JsonBody(""{\""id\"":\""test-id\"", \""content\"": \""body-content\""}"", StandardCharsets.UTF_8,
                MatchType.STRICT))
            .withHeader(""sessionToken"", ""test-token"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
github.com,finos/symphony-bdk-java,main,GITHUB,"https://github.com/finos/symphony-bdk-java/blob/main","httpRequest
            .withMethod(""POST"")
            .withPath(""/test-api"")
            .withHeader(
                Header.header(""Content-Type"", ""application/x-www-form-urlencoded;charset=UTF-8"")
            )
            .withBody(ParameterBody.params(
                Parameter.param(""param-1"", ""test-1""),
                Parameter.param(""param-2"", ""test-2"")
            ))
            .withHeader(""sessionToken"", ""test-token"")","org.mockserver.model.HttpRequest withHeader((([^,]+,)*([^,]+))?)","HTTP request"
