repositoryOrigin,repositoryPath,repositoryBranch,version,distribution
github.com,"spring-projects/spring-kafka",main,8.2.1,bin
github.com,Netflix/Fenzo,master,6.8.3,all
github.com,"spring-projects/spring-integration-samples",main,8.1.1,bin
github.com,Netflix/dgs-codegen,master,7.6,bin
github.com,"spring-projects/spring-statemachine",main,7.6.1,bin
github.com,Netflix/mantis-rxcontrol,master,6.8.3,bin
github.com,Netflix/dgs-framework,master,8.2.1,bin
github.com,Netflix/eureka,master,6.8.3,bin
github.com,Netflix/spectator,main,8.2.1,bin
github.com,"spring-projects/spring-credhub",main,7.6,bin
github.com,"spring-projects/spring-amqp",main,8.2.1,bin
github.com,Netflix/frigga,master,7.6,bin
github.com,Netflix/awsobjectmapper,main,6.8.3,bin
github.com,"spring-projects/spring-webflow",main,7.4.2,bin
github.com,Netflix/mantis-api,master,6.8.3,bin
github.com,Netflix/photon,master,7.6,bin
github.com,Netflix/ribbon,master,7.5.1,bin
github.com,Netflix/Priam,3.x,6.8.3,bin
github.com,Netflix/conductor,main,7.5.1,bin
github.com,"Netflix/dgs-examples-java",main,7.6,bin
github.com,"spring-projects/spring-integration",main,8.2.1,bin
github.com,"spring-cloud/spring-cloud-app-broker",main,7.6,bin
github.com,"spring-projects/spring-boot-data-geode",main,7.6.1,bin
github.com,"spring-projects/spring-session-data-geode",main,7.6.1,bin
github.com,"spring-projects/spring-integration-aws",main,8.2.1,bin
github.com,Netflix/dyno-queues,dev,6.8.3,all
github.com,"spring-projects/spring-graphql",main,8.2.1,bin
github.com,"spring-projects/spring-pulsar",main,7.4.1,bin
github.com,Netflix/ndbench,master,6.8.3,bin
github.com,"spring-projects/spring-ldap",main,7.4.2,bin
github.com,Netflix/mantis,master,7.5,bin
github.com,Netflix/metacat,master,6.8.3,bin
github.com,Netflix/servo,master,7.6,all
github.com,"Netflix/mantis-source-jobs",master,4.10.3,bin
github.com,Netflix/runtime-health,master,6.8.3,bin
github.com,Netflix/governator,master,7.5.1,bin
github.com,Netflix/netflix-graph,master,7.5.1,bin
github.com,Netflix/astyanax,master,6.8.3,bin
github.com,"spring-projects/spring-authorization-server",main,7.4.2,bin
github.com,Netflix/dyno,master,6.8.3,all
github.com,Netflix/hollow,master,7.5.1,bin
github.com,Netflix/genie,master,7.3.3,bin
github.com,"Netflix/concurrency-limits",master,7.6,bin
github.com,"spring-projects/spring-integration-kafka",master,6.5,bin
github.com,"spring-projects/spring-session-bom",main,7.4.2,bin
github.com,Netflix/Nicobar,master,6.8.3,bin
github.com,Netflix/EVCache,master,6.9,all
github.com,Netflix/dynomite-manager,dev,6.8.3,bin
github.com,"spring-projects/spring-restdocs",main,7.2,bin
github.com,Netflix/blitz4j,master,7.6,bin
github.com,Netflix/gradle-template,master,6.4,bin
github.com,Netflix/zuul,master,8.2.1,bin
github.com,"spring-cloud/spring-cloud-open-service-broker",main,7.4.2,all
github.com,"spring-projects/spring-security",main,7.6.2,bin
github.com,Netflix/q,master,6.8.3,bin
github.com,"spring-projects/spring-session",main,8.2.1,bin
github.com,"spring-projects/spring-security-samples",main,7.6.2,bin
github.com,"Netflix/titus-control-plane",master,6.8.3,all
github.com,Netflix/Raigad,master,6.8.3,all
