repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,sourceVersion,targetVersion
github.com,"openrewrite/rewrite-cucumber-jvm",main,GITHUB,"https://github.com/openrewrite/rewrite-cucumber-jvm/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-cucumber-jvm",main,GITHUB,"https://github.com/openrewrite/rewrite-cucumber-jvm/blob/main",17,17
github.com,"openrewrite/rewrite-kubernetes",main,GITHUB,"https://github.com/openrewrite/rewrite-kubernetes/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-third-party",main,GITHUB,"https://github.com/openrewrite/rewrite-third-party/blob/main",17,17
github.com,"openrewrite/rewrite-concourse",main,GITHUB,"https://github.com/openrewrite/rewrite-concourse/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-concourse",main,GITHUB,"https://github.com/openrewrite/rewrite-concourse/blob/main",17,17
github.com,"openrewrite/rewrite-liberty",main,GITHUB,"https://github.com/openrewrite/rewrite-liberty/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-liberty",main,GITHUB,"https://github.com/openrewrite/rewrite-liberty/blob/main",17,17
github.com,"openrewrite/rewrite-polyglot",main,GITHUB,"https://github.com/openrewrite/rewrite-polyglot/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-polyglot",main,GITHUB,"https://github.com/openrewrite/rewrite-polyglot/blob/main",17,17
github.com,"openrewrite/rewrite-templating",main,GITHUB,"https://github.com/openrewrite/rewrite-templating/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-kotlin",main,GITHUB,"https://github.com/openrewrite/rewrite-kotlin/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-kotlin",main,GITHUB,"https://github.com/openrewrite/rewrite-kotlin/blob/main",17,17
github.com,"openrewrite/rewrite-maven-plugin",main,GITHUB,"https://github.com/openrewrite/rewrite-maven-plugin/blob/main",8,8
github.com,"openrewrite/rewrite-maven-plugin",main,GITHUB,"https://github.com/openrewrite/rewrite-maven-plugin/blob/main",17,17
github.com,"openrewrite/rewrite-generative-ai",main,GITHUB,"https://github.com/openrewrite/rewrite-generative-ai/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-generative-ai",main,GITHUB,"https://github.com/openrewrite/rewrite-generative-ai/blob/main",17,17
github.com,openrewrite/rewrite-sql,main,GITHUB,"https://github.com/openrewrite/rewrite-sql/blob/main",1.8,1.8
github.com,openrewrite/rewrite-sql,main,GITHUB,"https://github.com/openrewrite/rewrite-sql/blob/main",17,17
github.com,"openrewrite/rewrite-micrometer",main,GITHUB,"https://github.com/openrewrite/rewrite-micrometer/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-micrometer",main,GITHUB,"https://github.com/openrewrite/rewrite-micrometer/blob/main",17,17
github.com,"openrewrite/rewrite-static-analysis",main,GITHUB,"https://github.com/openrewrite/rewrite-static-analysis/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-static-analysis",main,GITHUB,"https://github.com/openrewrite/rewrite-static-analysis/blob/main",17,17
github.com,"openrewrite/rewrite-javascript",main,GITHUB,"https://github.com/openrewrite/rewrite-javascript/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-javascript",main,GITHUB,"https://github.com/openrewrite/rewrite-javascript/blob/main",17,17
github.com,"openrewrite/rewrite-gradle-plugin",main,GITHUB,"https://github.com/openrewrite/rewrite-gradle-plugin/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-gradle-plugin",main,GITHUB,"https://github.com/openrewrite/rewrite-gradle-plugin/blob/main",17,17
github.com,"openrewrite/rewrite-gradle-tooling-model",main,GITHUB,"https://github.com/openrewrite/rewrite-gradle-tooling-model/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-gradle-tooling-model",main,GITHUB,"https://github.com/openrewrite/rewrite-gradle-tooling-model/blob/main",17,17
github.com,"openrewrite/rewrite-openapi",main,GITHUB,"https://github.com/openrewrite/rewrite-openapi/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-openapi",main,GITHUB,"https://github.com/openrewrite/rewrite-openapi/blob/main",17,17
github.com,openrewrite/rewrite,main,GITHUB,"https://github.com/openrewrite/rewrite/blob/main",21,21
github.com,openrewrite/rewrite,main,GITHUB,"https://github.com/openrewrite/rewrite/blob/main",11,11
github.com,"openrewrite/rewrite-okhttp",main,GITHUB,"https://github.com/openrewrite/rewrite-okhttp/blob/main",17,17
github.com,"openrewrite/rewrite-migrate-java",main,GITHUB,"https://github.com/openrewrite/rewrite-migrate-java/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-ai-search",main,GITHUB,"https://github.com/openrewrite/rewrite-ai-search/blob/main",1.8,1.8
github.com,"openrewrite/rewrite-ai-search",main,GITHUB,"https://github.com/openrewrite/rewrite-ai-search/blob/main",17,17
