repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,sourcePath,language,sourceFileType,linesOfText,hasParseFailures
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",.github/dependabot.yml,Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",26,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",.github/workflows/ci.yml,Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",28,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",".github/workflows/release.yml",Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",44,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",".github/workflows/repository-backup.yml",Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",24,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",.gitignore,"Plain text","org.openrewrite.text.PlainText",13,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",README.md,"Plain text","org.openrewrite.text.PlainText",2,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/AstMetadataRepository.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",1185,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/RepositoryBuild.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",18,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/RepositoryAstArtifact.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",14,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/RepositoryAstArtifactDiagnostic.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",16,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/LocalAstStorageRepository.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",182,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/AstArtifact.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",6,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/AstStorageRepository.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",28,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/RepositoryDetails.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",20,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","src/main/java/io/moderne/artifact/ArtifactIdAndBlobStoreKey.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",4,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",build.gradle,Groovy,"org.openrewrite.groovy.tree.G$CompilationUnit",16,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",settings.gradle,Groovy,"org.openrewrite.groovy.tree.G$CompilationUnit",24,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",gradlew,"Plain text","org.openrewrite.text.PlainText",221,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main",gradlew.bat,"Plain text","org.openrewrite.text.PlainText",71,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","gradle/wrapper/gradle-wrapper.jar","Other/unknown/unparseable","org.openrewrite.quark.Quark",0,false
github.com,"moderneinc/moderne-artifact-model",main,GITHUB,"https://github.com/moderneinc/moderne-artifact-model/blob/main","gradle/wrapper/gradle-wrapper.properties",Properties,"org.openrewrite.properties.tree.Properties$File",0,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main",HELP.md,"Plain text","org.openrewrite.text.PlainText",9,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main","gradle/wrapper/gradle-wrapper.properties",Properties,"org.openrewrite.properties.tree.Properties$File",0,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main",gradlew,"Other/unknown/unparseable","org.openrewrite.quark.Quark",0,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main",.gitignore,"Plain text","org.openrewrite.text.PlainText",4,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main",gradlew.bat,"Plain text","org.openrewrite.text.PlainText",70,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main","src/main/java/com/example/demo/DemoApplication.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",10,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main","src/main/resources/application.properties",Properties,"org.openrewrite.properties.tree.Properties$File",0,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main","src/test/java/com/example/demo/DemoApplicationTests.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",6,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main",build.gradle,Groovy,"org.openrewrite.groovy.tree.G$CompilationUnit",14,false
bitbucket.org,moderneinc/demo-public,main,BITBUCKET_CLOUD,"https://bitbucket.org/moderneinc/demo-public/branch/main",settings.gradle,Groovy,"org.openrewrite.groovy.tree.G$CompilationUnit",0,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",.github/dependabot.yml,Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",12,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",.github/workflows/ci.yml,Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",92,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",".github/workflows/gradle-wrapper-validation.yml",Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",12,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",".github/workflows/release.yml",Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",52,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",.gitignore,"Plain text","org.openrewrite.text.PlainText",4,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",.java-version,"Plain text","org.openrewrite.text.PlainText",1,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",README.md,"Plain text","org.openrewrite.text.PlainText",81,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",gradle/licenseHeader.txt,"Plain text","org.openrewrite.text.PlainText",13,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main","src/test/java/.editorconfig","Plain text","org.openrewrite.text.PlainText",4,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main","src/main/java/com/yourorg/NoGuavaListsNewArrayList.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",131,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main","src/main/java/com/yourorg/package-info.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",15,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main","src/main/resources/META-INF/rewrite/rewrite.yml",Yaml,"org.openrewrite.yaml.tree.Yaml$Documents",23,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main","src/main/resources/logback.xml",Xml,"org.openrewrite.xml.tree.Xml$Document",30,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main","src/test/java/com/yourorg/NoGuavaListsNewArrayListTest.java",Java,"org.openrewrite.java.tree.J$CompilationUnit",155,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",build.gradle.kts,"Plain text","org.openrewrite.text.PlainText",31,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",settings.gradle.kts,"Plain text","org.openrewrite.text.PlainText",1,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",gradlew,"Plain text","org.openrewrite.text.PlainText",221,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main",gradlew.bat,"Plain text","org.openrewrite.text.PlainText",71,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main","gradle/wrapper/gradle-wrapper.jar","Other/unknown/unparseable","org.openrewrite.quark.Quark",0,false
github.com,"moderneinc/rewrite-recipe-starter",main,GITHUB,"https://github.com/moderneinc/rewrite-recipe-starter/blob/main","gradle/wrapper/gradle-wrapper.properties",Properties,"org.openrewrite.properties.tree.Properties$File",0,false
github.com,moderneinc/mod-connect,main,GITHUB,"https://github.com/moderneinc/mod-connect/blob/main",".github/ISSUE_TEMPLATE/bug_report.md","Plain text","org.openrewrite.text.PlainText",34,false
