repositoryOrigin,repositoryPath,repositoryBranch,projectArtifactId,groupId,artifactId,version,relativePath
github.com,"apache/maven-dependency-plugin",master,maven-dependency-plugin,org.apache.maven.plugins,maven-plugins,40,
github.com,"apache/maven-source-plugin",master,maven-source-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-plugin-tools",master,maven-plugin-tools,org.apache.maven,maven-parent,39,
github.com,apache/maven-scm,master,maven-scm,org.apache.maven,maven-parent,39,
github.com,"apache/maven-apache-resources",master,maven-apache-resources,org.apache.maven,maven-parent,39,../maven/pom.xml
github.com,"apache/maven-checkstyle-plugin",master,maven-checkstyle-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-jdeprscan-plugin",master,maven-jdeprscan-plugin,org.apache.maven.plugins,maven-plugins,40,
github.com,"apache/maven-file-management",master,maven-file-management,org.apache.maven.shared,maven-shared-components,39,
github.com,apache/maven-shared-jar,master,maven-shared-jar,org.apache.maven.shared,maven-shared-components,39,
github.com,apache/maven,master,maven,org.apache.maven,maven-parent,40,
github.com,apache/maven,master,maven,org.apache.maven,maven-parent,40,
github.com,apache/maven-acr-plugin,master,maven-acr-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,apache/maven-fluido-skin,master,maven-fluido-skin,org.apache.maven.skins,maven-skins,39,
github.com,"apache/maven-docck-plugin",master,maven-docck-plugin,org.apache.maven.plugins,maven-plugins,34,"../../pom/maven/maven-plugins/pom.xml"
github.com,"apache/maven-toolchains-plugin",master,maven-toolchains-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-artifact-plugin",master,maven-artifact-plugin,org.apache.maven.plugins,maven-plugins,40,
github.com,apache/maven-dist-tool,master,maven-dist-tool,org.apache.maven,maven-parent,39,
github.com,"apache/maven-doxia-converter",master,maven-doxia-converter,org.apache.maven.doxia,doxia-tools,39,
github.com,"apache/maven-clean-plugin",master,maven-clean-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-doxia-linkcheck",master,maven-doxia-linkcheck,org.apache.maven.doxia,doxia-tools,34,
github.com,"apache/maven-changes-plugin",master,maven-changes-plugin,org.apache.maven.plugins,maven-plugins,34,
github.com,"apache/maven-jlink-plugin",master,maven-jlink-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,apache/maven-invoker,master,maven-invoker,org.apache.maven.shared,maven-shared-components,39,
github.com,"apache/maven-javadoc-plugin",master,maven-javadoc-plugin,org.apache.maven.plugins,maven-plugins,40,
github.com,apache/maven-pdf-plugin,master,maven-pdf-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,apache/maven-enforcer,master,maven-enforcer,org.apache.maven,maven-parent,40,
github.com,"apache/maven-doxia-book-maven-plugin",master,maven-doxia-book-maven-plugin,org.apache.maven.doxia,doxia-tools,34,
github.com,"apache/maven-artifact-transfer",master,maven-artifact-transfer,org.apache.maven.shared,maven-shared-components,37,
github.com,"apache/maven-changelog-plugin",master,maven-changelog-plugin,org.apache.maven.plugins,maven-plugins,34,
github.com,"apache/maven-integration-testing",master,maven-integration-testing,org.apache.maven,maven-parent,39,../pom/maven/pom.xml
github.com,apache/maven-pmd-plugin,master,maven-pmd-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-build-cache-extension",master,maven-build-cache-extension,"org.apache.maven.extensions",maven-extensions,39,
github.com,apache/maven-ejb-plugin,master,maven-ejb-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-antrun-plugin",master,maven-antrun-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-remote-resources-plugin",master,maven-remote-resources-plugin,org.apache.maven.plugins,maven-plugins,40,
github.com,"apache/maven-assembly-plugin",master,maven-assembly-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-resources-plugin",master,maven-resources-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-doxia-book-renderer",master,maven-doxia-book-renderer,org.apache.maven.doxia,doxia-tools,34,
github.com,apache/maven-archiver,master,maven-archiver,org.apache.maven.shared,maven-shared-components,40,
github.com,apache/maven-verifier,master,maven-verifier,org.apache.maven.shared,maven-shared-components,37,
github.com,apache/maven-release,master,maven-release,org.apache.maven,maven-parent,39,
