repositoryOrigin,repositoryPath,repositoryBranch,parser,sourcePath,exceptionType,treeType,snippet,stackTrace
github.com,rahulsom/waena,master,KotlinParser,"plugin/src/main/kotlin/com/github/rahulsom/waena/WaenaPublishedPlugin.kt",AssertionError,,,"java.lang.AssertionError: null
  org.openrewrite.java.tree.TypeTree.build(TypeTree.java:95)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitResolvedQualifier(KotlinParserVisitor.kt:2358)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitElement(KotlinParserVisitor.kt:4398)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.convertToExpression(KotlinParserVisitor.kt:4758)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitGetClassCall(KotlinParserVisitor.kt:1788)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitElement(KotlinParserVisitor.kt:4387)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.convertToExpression(KotlinParserVisitor.kt:4758)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitPropertyAccessExpression(KotlinParserVisitor.kt:2067)
  ..."
github.com,Gleethos/neureka,master,GroovyParser,"src/main/resources/scripting_setup.groovy",GroovyParsingException,,,"org.openrewrite.groovy.GroovyParsingException: Failed to parse src/main/resources/scripting_setup.groovy at cursor position 3424. The next 10 characters in the original source are `(inputs.to`
  org.openrewrite.groovy.GroovyParserVisitor.visit(GroovyParserVisitor.java:168)"
github.com,Gleethos/neureka,master,KotlinParser,"src/test/kotlin/Kotlin_Compatibility_Unit_Testing.kt","UnsupportedOperationException","org.jetbrains.kotlin.KtRealSourceElementKind@75605c6","internal class
Kotlin_Compatibility_Unit_Testing {

    @BeforeEach
    fun setupSpec()
    {
        Neureka.get().reset()

        // Configure printing of tensors to be more compact:
        Neureka.get().settings().view().ndArrays {
            it.isScientific = true
            it.isMultiline = false
            it.hasGradient = true
            it.cellSize = 1
            it.hasValue = true
            it.hasRecursiveGraph = false
            it.hasDerivatives = true
            it.hasShape = true
            it.isCellBound = false
            it.postfix = """"
            it.prefix = """"
            it.hasSlimNumbers = false
        }
    }

    @Test
    fun operator_overloading_works_for_scalars_in_kotlin()
    {
        listOf(
            Pair(-4.0, { t1 : Tensor<Double>, t2 : Tensor<Double> -> t1 * t2 }),
            Pair( 3.0, { t1 : Tensor<Double>, t2 : Tensor<Double> -> t1 + t2 }),
            Pair(-4.0, { t1 : Tensor<Double>, t2 : Tensor<Double> -> t1 / t2 }),
            Pair( 5.0, { t1 : Tensor<Double>, t2 : Tensor<Double> -> t1 - t2 })
        )
        .forEach { pair ->

            val expected = pair.first
            val exec     = pair.second

            val t1 : Tensor<Double> = Tensor.of( 4.0  ).setRqsGradient(true)
            val t2 : Tensor<Double> = Tensor.of( -1.0 )

            // When:
            val t3 = exec(t1, t2)

            // Then:
            assert( t3.size() == 1 )

            // And:
            assert( t3.toList().all { it == expected } )

            // When:
            val graphNode = t3[GraphNode::class.java]

            // Then:
            assert( graphNode != null )
            assert( graphNode.usesAD() )

        }
    }

    @Test
    fun tensor_operations_translate_to_custom_ComplexNumber_type_written_in_kotlin()
    {
        // Given :
        val a : Tensor<ComplexNumber> = Tensor.of(
                                        DataType.of(ComplexNumber::class.java),
                                        Shape.of(3, 2),
                                        { _ : Int, indices : IntArray -> ComplexNumber( indices[0].toDouble(), indices[1].toDouble() ) }
                                    )
        val b : Tensor<ComplexNumber> = Tensor.of(
                                        DataType.of(ComplexNumber::class.java),
                                        Shape.of(3, 2),
                                        { _ : Int, indices : IntArray -> ComplexNumber( indices[1].toDouble(), indices[0].toDouble() ) }
                                    )

        // Expect:
        assert(a.toString() == ""(3x2):[0.0+0.0i, 0.0+1.0i, 1.0+0.0i, 1.0+1.0i, 2.0+0.0i, 2.0+1.0i]"")
        assert(b.toString() == ""(3x2):[0.0+0.0i, 1.0+0.0i, 0.0+1.0i, 1.0+1.0i, 0.0+2.0i, 1.0+2.0i]"")
        assert( !a.isVirtual )
        assert( !b.isVirtual )
        assert((a+b).toString() == ""(3x2):[0.0+0.0i, 1.0+1.0i, 1.0+1.0i, 2.0+2.0i, 2.0+2.0i, 3.0+3.0i]"")
        assert((a-b).toString() == ""(3x2):[0.0+0.0i, -1.0+1.0i, 1.0-1.0i, 0.0+0.0i, 2.0-2.0i, 1.0-1.0i]"")
        assert((a*b).toString() == ""(3x2):[0.0+0.0i, 0.0+1.0i, 0.0+1.0i, 0.0+2.0i, 0.0+4.0i, 0.0+5.0i]"")
    }

    @Test
    fun optimization_is_being_called()
    {
        listOf(
            Pair( -3.0, { g : Tensor<Double> -> g - 4.0 } ), // 'g' will always be 1
            Pair(  5.0, { g : Tensor<Double> -> g + 4.0 } ),
            Pair( 0.25, { g : Tensor<Double> -> g / 4.0 } ),
            Pair(  4.0, { g : Tensor<Double> -> g * 4.0 } ),
            Pair(  0.0, { g : Tensor<Double> -> g % 1   } )
        )
        .forEach { pair ->

            // Given :
            val expected = pair.first
            val exec = pair.second
            val weightVal = 2.0
            val w: Tensor<Double> = Tensor.of(weightVal).setRqsGradient(true)

            // When :
            w.set( Optimizer.ofGradient( { g -> exec(g) } ) ).backward()

            // Then :
            assert(w.toString() == ""(1):[$weightVal]:g:[1.0]"")

            // When :
            w.applyGradient()

            // Then :
            assert(w.toString() == ""(1):[""+(expected+weightVal)+""]:g:[null]"")
        }
    }

    @Test
    fun we_can_use_the_subscription_operator_to_slice_tensors()
    {
        // Given :
        val t : Tensor<ComplexNumber> = Tensor.of(
                        DataType.of(ComplexNumber::class.java),
                        Shape.of(2, 3, 4),
                        { _, i -> ComplexNumber( i[0].toDouble(), i[1].toDouble() + i[2].toDouble()/10 ) }
                    )

        // When :
        val e1 = t[1, 2, 0]
        val e2 = t[0, 1, 2]
        val e3 = t[16]

        // Then :
        assert(e1.toString() == ""(1x1x1):[1.0+2.0i]"")
        assert(e2.toString() == ""(1x1x1):[0.0+1.2i]"")
        assert(e3.toString() == ""(1x1x1):[1.0+1.0i]"")

        // When :
        val slice = t[0..1, 2..2, 1..3]

        // Then :
        assert(
            t.toString({ it.isMultiline = true }).trim() == """"""
            (2x3x4):[
               [
                  [ 0.0+0.0i, 0.0+0.1i, 0.0+0.2i, 0.0+0.3i ],
                  [ 0.0+1.0i, 0.0+1.1i, 0.0+1.2i, 0.0+1.3i ],
                  [ 0.0+2.0i, 0.0+2.1i, 0.0+2.2i, 0.0+2.3i ]
               ],
               [
                  [ 1.0+0.0i, 1.0+0.1i, 1.0+0.2i, 1.0+0.3i ],
                  [ 1.0+1.0i, 1.0+1.1i, 1.0+1.2i, 1.0+1.3i ],
                  [ 1.0+2.0i, 1.0+2.1i, 1.0+2.2i, 1.0+2.3i ]
               ]
            ]
            """"""
            .trimIndent()
        )
        // And :
        assert(
            slice.toString({ it.isMultiline = true }) ==
            """"""
                (2x1x3):[
                   [
                      [ 0.0+2.1i, 0.0+2.2i, 0.0+2.3i ]
                   ],
                   [
                      [ 1.0+2.1i, 1.0+2.2i, 1.0+2.3i ]
                   ]
                ]
            """"""
            .trimIndent()
        )

        // When :
        t.mut[intArrayOf(1, 2, 0)] = ComplexNumber(0.0, 0.0)
        t.mut[0, 1, 2] = ComplexNumber(73.0, 666.0)
        t.mut[16] = ComplexNumber(42.0, 24.0)

        // Then :
        assert(e1.toString() == ""(1x1x1):[0.0+0.0i]"")
        assert(e2.toString() == ""(1x1x1):[73.0+666.0i]"")
        assert(e3.toString() == ""(1x1x1):[42.0+24.0i]"")

        // When : ... the missing index will be 0 padded (so this is [1, 2, 0])
        t.mut[1, 2] = ComplexNumber(42.0, 666.0)

        // Then :
        assert(e1.toString() == ""(1x1x1):[42.0+666.0i]"")

        // When :
        slice.mut.minusAssign( slice * ComplexNumber(-4.0, -2.0) )

        // Then :
        assert(
            t.toString({ it.isMultiline = true }).trim() == """"""
                (2x3x4):[
                   [
                      [ 0.0+0.0i, 0.0+0.1i, 0.0+0.2i, 0.0+0.3i ],
                      [ 0.0+1.0i, 0.0+1.1i, 73.0+666.0i, 0.0+1.3i ],
                      [ 0.0+2.0i, -4.2+10.5i, -4.4+11.0i, -4.6+11.5i ]
                   ],
                   [
                      [ 1.0+0.0i, 1.0+0.1i, 1.0+0.2i, 1.0+0.3i ],
                      [ 42.0+24.0i, 1.0+1.1i, 1.0+1.2i, 1.0+1.3i ],
                      [ 42.0+666.0i, 0.7999999999999998+12.5i, 0.5999999999999996+13.0i, 0.40000000000000036+13.5i ]
                   ]
                ]
            """"""
            .trimIndent()
        )

        // When :
        slice.mut.assign(slice - ComplexNumber(-1.0,2.0))

        // Then :
        assert(
            t.toString({ it.isMultiline = true }).trim() == """"""
                (2x3x4):[
                   [
                      [ 0.0+0.0i, 0.0+0.1i, 0.0+0.2i, 0.0+0.3i ],
                      [ 0.0+1.0i, 0.0+1.1i, 73.0+666.0i, 0.0+1.3i ],
                      [ 0.0+2.0i, -3.2+8.5i, -3.4000000000000004+9.0i, -3.5999999999999996+9.5i ]
                   ],
                   [
                      [ 1.0+0.0i, 1.0+0.1i, 1.0+0.2i, 1.0+0.3i ],
                      [ 42.0+24.0i, 1.0+1.1i, 1.0+1.2i, 1.0+1.3i ],
                      [ 42.0+666.0i, 1.7999999999999998+10.5i, 1.5999999999999996+11.0i, 1.4000000000000004+11.5i ]
                   ]
                ]
            """"""
            .trimIndent()
        )

    }

    @Test
    fun we_can_use_the_subscription_operator_to_slice_nd_arrays()
    {
        // Given :
        val n : Nda<String> = Nda.of(String::class.java)
                                            .withShape(2, 3, 4)
                                            .andWhere { _, i ->
                                                ""${i[0].toDouble()}+${(i[1].toDouble() + i[2].toDouble() / 10)}i""
                                            }

        // When :
        val e1 = n[1, 2, 0]
        val e2 = n[0, 1, 2]
        val e3 = n[16]

        // Then :
        assert(e1.toString() == ""(1x1x1):[1.0+2.0i]"")
        assert(e2.toString() == ""(1x1x1):[0.0+1.2i]"")
        assert(e3.toString() == ""(1x1x1):[1.0+1.0i]"")

        // When :
        val slice = n[0..1, 2..2, 1..3]

        // Then :
        assert(
            n.toString({ it.isMultiline = true }).trim() == """"""
            (2x3x4):[
               [
                  [ 0.0+0.0i, 0.0+0.1i, 0.0+0.2i, 0.0+0.3i ],
                  [ 0.0+1.0i, 0.0+1.1i, 0.0+1.2i, 0.0+1.3i ],
                  [ 0.0+2.0i, 0.0+2.1i, 0.0+2.2i, 0.0+2.3i ]
               ],
               [
                  [ 1.0+0.0i, 1.0+0.1i, 1.0+0.2i, 1.0+0.3i ],
                  [ 1.0+1.0i, 1.0+1.1i, 1.0+1.2i, 1.0+1.3i ],
                  [ 1.0+2.0i, 1.0+2.1i, 1.0+2.2i, 1.0+2.3i ]
               ]
            ]
            """"""
            .trimIndent()
        )
        // And :
        assert(
            slice.toString({ it.isMultiline = true }) ==
            """"""
                (2x1x3):[
                   [
                      [ 0.0+2.1i, 0.0+2.2i, 0.0+2.3i ]
                   ],
                   [
                      [ 1.0+2.1i, 1.0+2.2i, 1.0+2.3i ]
                   ]
                ]
            """"""
            .trimIndent()
        )

        // When :
        n.mut[intArrayOf(1, 2, 0)] = ""0.0+0.0i""
        n.mut[0, 1, 2] = ""73.0+666.0i""
        n.mut[16] = ""42.0+24.0i""

        // Then :
        assert(e1.toString() == ""(1x1x1):[0.0+0.0i]"")
        assert(e2.toString() == ""(1x1x1):[73.0+666.0i]"")
        assert(e3.toString() == ""(1x1x1):[42.0+24.0i]"")

        // When : ... the missing index will be 0 padded (so this is [1, 2, 0])
        n.mut[1, 2] = ""42.0+666.0i""

        // Then :
        assert(e1.toString() == ""(1x1x1):[42.0+666.0i]"")

        // When :
        slice.mut.assign(slice.map { it.toUpperCase() })

        // Then :
        assert(
            n.toString({ it.isMultiline = true }).trim() == """"""
                (2x3x4):[
                   [
                      [ 0.0+0.0i, 0.0+0.1i, 0.0+0.2i, 0.0+0.3i ],
                      [ 0.0+1.0i, 0.0+1.1i, 73.0+666.0i, 0.0+1.3i ],
                      [ 0.0+2.0i, 0.0+2.1I, 0.0+2.2I, 0.0+2.3I ]
                   ],
                   [
                      [ 1.0+0.0i, 1.0+0.1i, 1.0+0.2i, 1.0+0.3i ],
                      [ 42.0+24.0i, 1.0+1.1i, 1.0+1.2i, 1.0+1.3i ],
                      [ 42.0+666.0i, 1.0+2.1I, 1.0+2.2I, 1.0+2.3I ]
                   ]
                ]
            """"""
            .trimIndent()
        )

    }

    @Test
    fun convenience_methods_in_function_API_are_consistent()
    {
        listOf(
            Pair( ""(1):[4.0]"", { Function.of(""i0 * 4 - 3"").with(Arg.DerivIdx.of(0))(Tensor.of(5.0)) } ),
            Pair( ""(1):[4.0]"", { Function.of(""i0 * 4 + 3"").with(Arg.DerivIdx.of(0))(Tensor.of(5.0)) } ),
            Pair( ""(1):[3.0]"", { Function.of(""i0 * 4 - 3 - i0"").with(Arg.DerivIdx.of(0))(Tensor.of(5.0)) } ),
            Pair( ""(1):[5.0]"", { Function.of(""i0 * 4 + 3 + i0"").with(Arg.DerivIdx.of(0))(Tensor.of(5.0)) } ),
            Pair( ""(1):[6.0]"", { Function.of(""(i0 - 4) * 3 * i0"").with(Arg.DerivIdx.of(0))(Tensor.of(3.0)) } ),
            Pair( ""(1):[-1.0]"", { Function.of(""(i0 - 4) * (1 - i0) * i0"").with(Arg.DerivIdx.of(0))(Tensor.of(3.0)) } ),
            Pair( ""(1):[0.22222]"", { Function.of(""(i0 - 4) / 2 / i0"").with(Arg.DerivIdx.of(0))(Tensor.of(3.0)) } ),
            Pair( ""(1):[-0.30555]"", { Function.of(""(i0 - 4) / (1 - i0) / i0"").with(Arg.DerivIdx.of(0))(
                Tensor.of(3.0)) } ),
            Pair( ""(1):[-0.66666]"", { Function.of(""12 / 2 / i0"").with(Arg.DerivIdx.of(0))(Tensor.of(3.0)) } ),
            Pair( ""(1):[4.0]"", { Function.of(""i0 * 4 - 3"").invoke(Call.to(CPU.get()).with(Tensor.of(5.0)).andArgs( Arg.DerivIdx.of(0) )) } ),
            Pair( ""(1):[6.0]"", { Function.of(""i0 * i0"").execute(Args.of(Arg.DerivIdx.of(0)), Tensor.of(3.0)) } )
        )
        .forEach { pair ->
            // Given :
            val expected = pair.first
            val exec = pair.second

            // When :
            val t = exec()

            // Then :
            assert(t.toString() == expected)
        }
    }

    @Test
    fun settings_API_for_formatting_tensors_is_convenient_in_kotlin()
    {
        // Given:
        val viewSettings = Neureka.get().settings().view()
        // And :
        viewSettings.ndArrays {
                        it.isCellBound = true
                        it.hasSlimNumbers = false
                        it.prefix = ""§""
                        it.postfix = ""!""
                        it.isMultiline = true
                        it.isScientific = true
                        it.isLegacy = true
                        it.hasGradient = true
                        it.hasShape = false
                        it.cellSize = 8
                        it.rowLimit = 30
                    }
        // When :
        val t = Tensor.of(Float::class.java)
                        .withShape(2, 4, 3)
                        .andWhere { i, index -> index.sum().toFloat()/i  }

        // Then :
        assert(t.toString() == """"""§:(
   (
      (    NaN  ,    1.0  ,    1.0   ),
      (  0.33333,    0.5  ,  0.60000 ),
      (  0.33333,  0.42857,    0.5   ),
      (  0.33333,  0.40000,  0.45454 )
   ),
   (
      (  0.08333,  0.15384,  0.21428 ),
      (  0.13333,  0.1875 ,  0.23529 ),
      (  0.16666,  0.21052,   0.25   ),
      (  0.19047,  0.22727,  0.26086 )
   )
)!"""""")

        // When :
        viewSettings.ndArrays {
            it.isCellBound = true
            it.hasSlimNumbers = true
            it.prefix = ""..""
            it.postfix = ""°°""
            it.isMultiline = false
            it.isScientific = true
            it.isLegacy = false
            it.hasGradient = true
            it.hasShape = true
            it.cellSize = 4
            it.rowLimit = 6
        }

        // Then :
        assert(t.toString() == ""..(2x4x3):[ NaN,   1 ,   1 , .3..,  .5 , .6.., ... + 18 more]°°"")

        // When :
        Neureka.get().reset()

        // Then :
        assert(t.toString() == """"""
            (2x4x3):[
               [
                  [   NaN ,   1.0 ,   1.0  ],
                  [ 0.33333,   0.5 , 0.60000 ],
                  [ 0.33333, 0.42857,   0.5  ],
                  [ 0.33333, 0.40000, 0.45454 ]
               ],
               [
                  [ 0.08333, 0.15384, 0.21428 ],
                  [ 0.13333, 0.1875, 0.23529 ],
                  [ 0.16666, 0.21052,  0.25  ],
                  [ 0.19047, 0.22727, 0.26086 ]
               ]
            ]"""""".trimIndent())
    }


    @Test
    fun settings_API_for_formatting_tensors_allows_us_to_configure_the_indent()
    {
        // Given:
        val viewSettings = Neureka.get().settings().view()
        // And :
        viewSettings.ndArrays {
            it.isCellBound = true
            it.hasSlimNumbers = true
            it.isMultiline = true
            it.prefix = ""START\n""
            it.postfix = ""\nEND""
            it.isScientific = true
            it.isLegacy = false
            it.hasGradient = true
            it.hasShape = true
            it.cellSize = 6
            it.rowLimit = 5
            it.hasDerivatives = true
            it.hasRecursiveGraph = true
        }
        // When :
        val t = Tensor.of(Double::class.java)
                    .withShape(2, 3, 9)
                    .andWhere { i, index -> index.sum().toDouble()/i  }
                    .setRqsGradient(true)

        // And :
        val o = t * Tensor.of(6.0)

        // And :
        o.backward(2.0)

        // Then :
        assert(t.toString() == """"""
                                    START
                                    (2x3x9):[
                                       [
                                          [   NaN ,    1  ,    1  , ..4 more..,    1  ,    1   ],
                                          [ .11111,   .2  , .27272, ..4 more..,   .5  , .52941 ],
                                          [ .11111, .15789,   .2  , ..4 more..,   .36 , .38461 ]
                                       ],
                                       [
                                          [ .03703, .07142, .10344, ..4 more.., .23529, .25714 ],
                                          [ .05555, .08108, .10526, ..4 more.., .20930, .22727 ],
                                          [ .06666, .08695, .10638, ..4 more.., .19230, .20754 ]
                                       ]
                                    ]:g:[
                                       [
                                          [   12  ,   12  ,   12  , ..4 more..,   12  ,   12   ],
                                          [   12  ,   12  ,   12  , ..4 more..,   12  ,   12   ],
                                          [   12  ,   12  ,   12  , ..4 more..,   12  ,   12   ]
                                       ],
                                       [
                                          [   12  ,   12  ,   12  , ..4 more..,   12  ,   12   ],
                                          [   12  ,   12  ,   12  , ..4 more..,   12  ,   12   ],
                                          [   12  ,   12  ,   12  , ..4 more..,   12  ,   12   ]
                                       ]
                                    ]
                                    END
                                """""".trimIndent())
    }


    @Test
    fun we_can_create_nd_arrays_with_a_fluent_builder_api()
    {
        val nda : Nda<Int> =
                    Nda.of(Int::class.java)
                        .withShape(2, 3)
                        .andWhere { _, indices -> indices.sum()/2  }

        assert((0..5).all { (nda.rawData as IntArray)[it] == arrayOf(0,0,1,0,1,1)[it] })
        assert((0..5).all { (nda.rawItems as IntArray)[it] == arrayOf(0,0,1,0,1,1)[it] })
    }

}","java.lang.UnsupportedOperationException: FirVarargArgumentsExpression is not supported at cursor: 1, 2, 0]
        val e2 = t[0,in file: /home/ubuntu/jenkins-agent/workspace/cli-ingest/Gleethos_neureka_master/src/test/kotlin/Kotlin_Compatibility_Unit_Testing.kt
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitVarargArgumentsExpression(KotlinParserVisitor.kt:4254)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitElement(KotlinParserVisitor.kt:4462)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.convertToExpression(KotlinParserVisitor.kt:4758)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.mapKotlinBinaryOperation(KotlinParserVisitor.kt:1512)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitFunctionCall(KotlinParserVisitor.kt:1021)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitElement(KotlinParserVisitor.kt:4385)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.convertToExpression(KotlinParserVisitor.kt:4758)
  org.openrewrite.kotlin.internal.KotlinParserVisitor.visitProperty(KotlinParserVisitor.kt:1957)
  ..."
github.com,Gleethos/neureka,master,GroovyParser,"src/test/resources/benchmark.groovy",GroovyParsingException,,,"org.openrewrite.groovy.GroovyParsingException: Failed to parse src/test/resources/benchmark.groovy, cursor position likely inaccurate.
  org.openrewrite.groovy.GroovyParserVisitor.visit(GroovyParserVisitor.java:163)"
github.com,Gleethos/neureka,master,GroovyParser,"src/test/groovy/Example_Spec.groovy",GroovyParsingException,,,"org.openrewrite.groovy.GroovyParsingException: Failed to parse src/test/groovy/Example_Spec.groovy at cursor position 3334. The next 10 characters in the original source are `{
        `
  org.openrewrite.groovy.GroovyParserVisitor.visit(GroovyParserVisitor.java:168)"
github.com,Gleethos/neureka,master,GroovyParser,"src/test/groovy/st/NN_Concepts_Spec.groovy",GroovyParsingException,,,"org.openrewrite.groovy.GroovyParsingException: Failed to parse src/test/groovy/st/NN_Concepts_Spec.groovy at cursor position 1094. The next 10 characters in the original source are `.reshape( `
  org.openrewrite.groovy.GroovyParserVisitor.visit(GroovyParserVisitor.java:168)"
github.com,Gleethos/neureka,master,GroovyParser,"src/test/groovy/st/Benchmark_System_Test.groovy",GroovyParsingException,,,"org.openrewrite.groovy.GroovyParsingException: Failed to parse src/test/groovy/st/Benchmark_System_Test.groovy at cursor position 1751. The next 10 characters in the original source are `.withShape`
  org.openrewrite.groovy.GroovyParserVisitor.visit(GroovyParserVisitor.java:168)"
github.com,Gleethos/neureka,master,GroovyParser,"src/test/groovy/st/Training_NNs_Spec.groovy",GroovyParsingException,,,"org.openrewrite.groovy.GroovyParsingException: Failed to parse src/test/groovy/st/Training_NNs_Spec.groovy at cursor position 1401. The next 10 characters in the original source are `.reshape( `
  org.openrewrite.groovy.GroovyParserVisitor.visit(GroovyParserVisitor.java:168)"
github.com,Gleethos/neureka,master,GroovyParser,"src/test/groovy/st/tests/SimpleNNSystemTest.groovy",GroovyParsingException,,,"org.openrewrite.groovy.GroovyParsingException: Failed to parse src/test/groovy/st/tests/SimpleNNSystemTest.groovy at cursor position 150. The next 10 characters in the original source are `
        C`
  org.openrewrite.groovy.GroovyParserVisitor.visit(GroovyParserVisitor.java:168)"
github.com,Gleethos/neureka,master,GroovyParser,"src/test/groovy/st/tests/StandaloneBenchmark.groovy",GroovyParsingException,,,"org.openrewrite.groovy.GroovyParsingException: Failed to parse src/test/groovy/st/tests/StandaloneBenchmark.groovy at cursor position 1300. The next 10 characters in the original source are `expected

`
  org.openrewrite.groovy.GroovyParserVisitor.visit(GroovyParserVisitor.java:168)"
