repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,childGroupId,childArtifactId,parentGroupId,parentArtifactId,parentVersion,hierarchyType
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",com.example.ecom,customer-service,org.springframework.boot,"spring-boot-starter-parent",2.4.13,MAVEN_PARENT
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",com.example.ecom,fraud-detection-service,org.springframework.boot,"spring-boot-starter-parent",2.5.15,MAVEN_PARENT
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",com.example.ecom,inventory-service,org.springframework.boot,"spring-boot-starter-parent",2.2.13.RELEASE,MAVEN_PARENT
github.com,"modernetraining/example-ecom-kyc-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-kyc-service/blob/main",com.example.ecom,kyc-service,org.springframework.boot,"spring-boot-starter-parent",2.4.13,MAVEN_PARENT
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",com.example.ecom,notification-service,org.springframework.boot,"spring-boot-starter-parent",2.6.15,MAVEN_PARENT
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",com.example.ecom,order-service,org.springframework.boot,"spring-boot-starter-parent",2.5.15,MAVEN_PARENT
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",com.example.ecom,order-api,com.example.ecom,order-service,1.1.0-SNAPSHOT,MAVEN_PARENT
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",com.example.ecom,order-core,com.example.ecom,order-service,1.1.0-SNAPSHOT,MAVEN_PARENT
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",com.example.ecom,order-client,com.example.ecom,order-service,1.1.0-SNAPSHOT,MAVEN_PARENT
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",com.example.ecom,product-service,org.springframework.boot,"spring-boot-starter-parent",2.3.12.RELEASE,MAVEN_PARENT
github.com,"modernetraining/example-ecom-risk-score-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-risk-score-service/blob/main",com.example.ecom,risk-score-service,org.springframework.boot,"spring-boot-starter-parent",2.3.12.RELEASE,MAVEN_PARENT
