repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,projectName,sourceSet,groupId,artifactId,version,datedSnapshotVersion,scope,depth,dependencyGraph
github.com,Netflix/CassJMeter,master,GITHUB,"https://github.com/Netflix/CassJMeter/blob/master",CassJMeter,main,org.apache.commons,commons-lang3,3.1,3.1,compile,1,"org.apache.commons:commons-lang3:3.1
\--- compile"
github.com,Netflix/CassJMeter,master,GITHUB,"https://github.com/Netflix/CassJMeter/blob/master",CassJMeter,main,commons-lang,commons-lang,2.4,2.4,compile,1,"commons-lang:commons-lang:2.4
\--- compile"
github.com,Netflix/archaius,2.x,GITHUB,"https://github.com/Netflix/archaius/blob/2.x",archaius2-persisted2,main,org.apache.commons,commons-lang3,3.3.2,,testRuntimeClasspath,2,"org.apache.commons:commons-lang3:3.3.2
\--- com.netflix.archaius:archaius2-core:2.9.0-SNAPSHOT
     \--- com.netflix.archaius:archaius2-guice:2.9.0-SNAPSHOT
          \--- testRuntimeClasspath"
github.com,Netflix/archaius,2.x,GITHUB,"https://github.com/Netflix/archaius/blob/2.x",archaius2-persisted2,main,org.apache.commons,commons-lang3,3.3.2,,runtimeClasspath,1,"org.apache.commons:commons-lang3:3.3.2
\--- com.netflix.archaius:archaius2-core:2.9.0-SNAPSHOT
     \--- runtimeClasspath"
github.com,Netflix/archaius,2.x,GITHUB,"https://github.com/Netflix/archaius/blob/2.x",archaius2-persisted2,main,org.apache.commons,commons-lang3,3.3.2,,testRuntimeClasspath,0,"org.apache.commons:commons-lang3:3.3.2
\--- testRuntimeClasspath"
github.com,Netflix/archaius,2.x,GITHUB,"https://github.com/Netflix/archaius/blob/2.x",archaius2-persisted2,main,org.apache.commons,commons-lang3,3.3.2,,runtimeClasspath,0,"org.apache.commons:commons-lang3:3.3.2
\--- runtimeClasspath"
github.com,Netflix/archaius,2.x,GITHUB,"https://github.com/Netflix/archaius/blob/2.x",archaius2-persisted2,main,org.apache.commons,commons-lang3,3.3.2,,testCompileClasspath,0,"org.apache.commons:commons-lang3:3.3.2
\--- testCompileClasspath"
github.com,Netflix/archaius,2.x,GITHUB,"https://github.com/Netflix/archaius/blob/2.x",archaius2-persisted2,main,org.apache.commons,commons-lang3,3.3.2,,compileClasspath,0,"org.apache.commons:commons-lang3:3.3.2
\--- compileClasspath"
github.com,Netflix/blitz4j,master,GITHUB,"https://github.com/Netflix/blitz4j/blob/master",blitz4j,main,commons-lang,commons-lang,2.6,,compileClasspath,2,"commons-lang:commons-lang:2.6
\--- commons-configuration:commons-configuration:1.10
     \--- com.netflix.archaius:archaius-core:0.7.10
          \--- compileClasspath"
github.com,Netflix/blitz4j,master,GITHUB,"https://github.com/Netflix/blitz4j/blob/master",blitz4j,main,commons-lang,commons-lang,2.6,,testCompileClasspath,2,"commons-lang:commons-lang:2.6
\--- commons-configuration:commons-configuration:1.10
     \--- com.netflix.archaius:archaius-core:0.7.10
          \--- testCompileClasspath"
