repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,sourcePath,ruleId,severity,line,column,message
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/qunit/unit.qunit.html",no-deprecated-theme,Error,7,21,"Use of deprecated theme 'sap_belize'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/qunit/unit.qunit.html",no-deprecated-api,Warning,8,2,"Outdated spelling of bootstrap parameter: 'data-sap-ui-compatVersion'; should be written as 'data-sap-ui-compat-version'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/qunit/unit.qunit.html",no-deprecated-api,Warning,9,2,"Outdated spelling of bootstrap parameter: 'data-sap-ui-resourceroots'; should be written as 'data-sap-ui-resource-roots'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/qunit/unit.qunit.html",no-deprecated-api,Error,6,1,"Missing bootstrap parameter 'data-sap-ui-async'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/index.html",no-deprecated-theme,Error,10,46,"Use of deprecated theme 'sap_belize'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/index.html",no-deprecated-api,Warning,11,2,"Outdated spelling of bootstrap parameter: 'data-sap-ui-compatVersion'; should be written as 'data-sap-ui-compat-version'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/index.html",no-deprecated-api,Warning,12,2,"Outdated spelling of bootstrap parameter: 'data-sap-ui-resourceroots'; should be written as 'data-sap-ui-resource-roots'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/index.html",no-deprecated-api,Error,8,1,"Missing bootstrap parameter 'data-sap-ui-async'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/index.html",csp-unsafe-inline-script,Warning,17,1,"Use of unsafe inline script"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/test/opa5/all.opa5.html",no-deprecated-theme,Error,9,21,"Use of deprecated theme 'sap_belize'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/test/opa5/all.opa5.html",no-deprecated-api,Warning,10,2,"Outdated spelling of bootstrap parameter: 'data-sap-ui-compatVersion'; should be written as 'data-sap-ui-compat-version'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/test/opa5/all.opa5.html",no-deprecated-api,Warning,11,2,"Outdated spelling of bootstrap parameter: 'data-sap-ui-resourceroots'; should be written as 'data-sap-ui-resource-roots'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/test/opa5/all.opa5.html",no-deprecated-api,Error,7,1,"Missing bootstrap parameter 'data-sap-ui-async'"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/test/opa5/all.opa5.html",csp-unsafe-inline-script,Warning,14,1,"Use of unsafe inline script"
github.com,SAP/openui5-fhir,master,GITHUB,"https://github.com/SAP/openui5-fhir/blob/master","test/sap-fhir-test-app/webapp/view/patient/fragments/MessagePopover.fragment.xml",no-deprecated-api,Error,5,9,"Import of deprecated module 'sap/m/MessagePopoverItem'"
