# @name io.moderne.prethink.table.CodeSmells
# @instanceName Code smells
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,className,methodName,smellType,severity,evidence,org1,org2
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/index/IndexingSink.java,org.apache.maven.doxia.index.IndexingSink,setEntryId,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=2",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/index/IndexingSink.java,org.apache.maven.doxia.index.IndexingSink,parseAnchor,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=3",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/macro/AbstractMacro.java,org.apache.maven.doxia.macro.AbstractMacro,getAttributesFromMap,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=0",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/macro/EchoMacro.java,org.apache.maven.doxia.macro.EchoMacro,execute,FEATURE_ENVY,MEDIUM,"foreign accesses=11, own accesses=0",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/macro/snippet/SnippetMacro.java,org.apache.maven.doxia.macro.snippet.SnippetMacro,execute,FEATURE_ENVY,HIGH,"foreign accesses=28, own accesses=7",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/macro/snippet/SnippetReader.java,org.apache.maven.doxia.macro.snippet.SnippetReader,isDemarcator,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/macro/toc/TocMacro.java,org.apache.maven.doxia.macro.toc.TocMacro,writeSubSectionN,FEATURE_ENVY,HIGH,"foreign accesses=21, own accesses=8",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/AbstractXmlParser.java,org.apache.maven.doxia.parser.AbstractXmlParser,,GOD_CLASS,HIGH,"WMC=75, TCC=0.02, ATFD=33",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/AbstractXmlParser.java,org.apache.maven.doxia.parser.AbstractXmlParser,parse,FEATURE_ENVY,MEDIUM,"foreign accesses=13, own accesses=4",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/AbstractXmlParser.java,org.apache.maven.doxia.parser.AbstractXmlParser,handleEntity,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=1",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/AbstractXmlParser.java,org.apache.maven.doxia.parser.AbstractXmlParser,getText,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=4",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/AbstractXmlParser.java,org.apache.maven.doxia.parser.AbstractXmlParser,addEntity,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=1",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/AbstractXmlParser.java,org.apache.maven.doxia.parser.AbstractXmlParser,addLocalEntities,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=1",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/AbstractXmlParser.java,org.apache.maven.doxia.parser.AbstractXmlParser,addDTDEntities,FEATURE_ENVY,HIGH,"foreign accesses=16, own accesses=4",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/AbstractXmlParser.java,org.apache.maven.doxia.parser.AbstractXmlParser,parseXml,FEATURE_ENVY,HIGH,"foreign accesses=29, own accesses=11",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/Xhtml1BaseParser.java,org.apache.maven.doxia.parser.Xhtml1BaseParser,baseStartTag,FEATURE_ENVY,HIGH,"foreign accesses=16, own accesses=3",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia/parser/Xhtml5BaseParser.java,org.apache.maven.doxia.parser.Xhtml5BaseParser,,GOD_CLASS,CRITICAL,"WMC=231, TCC=0.09, ATFD=115",Default,ALL
