# @name org.openrewrite.javascript.table.NodeDependenciesInUse
# @instanceName Node.js dependencies in use
# @group
repositoryOrigin,repositoryPath,repositoryBranch,projectName,projectPath,packageName,version,versionConstraint,scope,direct,count,license,org1,org2
github.com,acme/web-store,main,web-store,.,react,18.2.0,^18.2.0,dependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,react-dom,18.2.0,^18.2.0,dependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,scheduler,0.23.0,^0.23.0,dependencies,false,2,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,redux,4.2.1,^4.2.1,dependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,formik,2.4.5,^2.4.0,dependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,lodash,4.17.21,^4.17.21,dependencies,true,3,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,axios,1.6.2,^1.6.0,dependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,socket.io-client,4.7.2,^4.7.2,dependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,webpack,5.89.0,^5.89.0,devDependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,eslint,8.55.0,^8.55.0,devDependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,prettier,3.1.1,^3.1.0,devDependencies,true,1,MIT,Default,ALL
github.com,acme/web-store,main,web-store,.,jest,29.7.0,^29.7.0,devDependencies,true,1,MIT,Default,ALL
github.com,acme/api-gateway,main,api-gateway,services/gateway,express,4.18.2,^4.18.2,dependencies,true,1,MIT,Default,ALL
github.com,acme/api-gateway,main,api-gateway,services/gateway,mime,3.0.0,^3.0.0,dependencies,false,2,MIT,Default,ALL
github.com,acme/api-gateway,main,api-gateway,services/gateway,mongoose,8.0.3,^8.0.0,dependencies,true,1,MIT,Default,ALL
github.com,acme/api-gateway,main,api-gateway,services/gateway,sequelize,6.35.1,^6.35.0,dependencies,true,1,MIT,Default,ALL
github.com,acme/api-gateway,main,api-gateway,services/gateway,ws,8.15.0,^8.15.0,dependencies,true,1,MIT,Default,ALL
github.com,acme/api-gateway,main,api-gateway,services/gateway,moment,2.29.4,^2.29.4,dependencies,true,2,MIT,Default,ALL
github.com,acme/api-gateway,main,api-gateway,services/gateway,mocha,10.2.0,^10.2.0,devDependencies,true,1,MIT,Default,ALL
github.com,acme/api-gateway,main,api-gateway,services/gateway,helmet,7.1.0,^7.1.0,dependencies,true,1,MIT,Default,ALL
