repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,projectName,sourceSet,groupId,artifactId,version,datedSnapshotVersion,scope
github.com,"modernetraining/example-ecom-common",main,GITHUB,"https://github.com/modernetraining/example-ecom-common/blob/main",ecom-common,main,"com.fasterxml.jackson.core",jackson-databind,2.11.4,2.11.4,compile
github.com,"modernetraining/example-ecom-common",main,GITHUB,"https://github.com/modernetraining/example-ecom-common/blob/main",ecom-common,main,org.apache.commons,commons-lang3,3.12.0,3.12.0,compile
github.com,"modernetraining/example-ecom-common",main,GITHUB,"https://github.com/modernetraining/example-ecom-common/blob/main",ecom-common,main,javax.validation,validation-api,2.0.1.Final,2.0.1.Final,compile
github.com,"modernetraining/example-ecom-common",main,GITHUB,"https://github.com/modernetraining/example-ecom-common/blob/main",ecom-common,main,junit,junit,4.13.2,4.13.2,test
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,org.springframework.boot,spring-boot-starter-web,2.4.13,2.4.13,compile
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,org.springframework.boot,"spring-boot-starter-data-jpa",2.4.13,2.4.13,compile
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,com.h2database,h2,1.4.200,1.4.200,runtime
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,"org.springframework.cloud","spring-cloud-starter-sleuth",3.0.6,3.0.6,compile
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,"org.springframework.cloud","spring-cloud-sleuth-zipkin",3.0.6,3.0.6,compile
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,com.example.ecom,ecom-security,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,org.springframework.boot,spring-boot-starter-test,2.4.13,2.4.13,test
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,org.junit.vintage,junit-vintage-engine,5.7.2,5.7.2,test
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,com.mysema.querydsl,querydsl-jpa,3.2.3,3.2.3,compile
github.com,"modernetraining/example-ecom-customer-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-customer-service/blob/main",customer-service,main,com.mysema.querydsl,querydsl-apt,3.2.3,3.2.3,provided
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,org.springframework.boot,spring-boot-starter-web,2.5.15,2.5.15,compile
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,"org.springframework.cloud","spring-cloud-starter-openfeign",3.0.7,3.0.7,compile
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,"org.springframework.cloud","spring-cloud-starter-sleuth",3.0.6,3.0.6,compile
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,"org.springframework.cloud","spring-cloud-sleuth-zipkin",3.0.6,3.0.6,compile
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,com.example.ecom,ecom-security,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,com.example.ecom,ecom-rest-client,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,org.springframework.boot,spring-boot-starter-test,2.5.15,2.5.15,test
github.com,"modernetraining/example-ecom-fraud-detection-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-fraud-detection-service/blob/main",fraud-detection-service,main,org.junit.vintage,junit-vintage-engine,5.7.2,5.7.2,test
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,org.springframework.boot,spring-boot-starter-web,2.2.13.RELEASE,2.2.13.RELEASE,compile
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,org.springframework.boot,"spring-boot-starter-data-jpa",2.2.13.RELEASE,2.2.13.RELEASE,compile
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,org.springframework.boot,spring-boot-starter-amqp,2.2.13.RELEASE,2.2.13.RELEASE,compile
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,com.h2database,h2,1.4.200,1.4.200,runtime
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,"org.springframework.cloud","spring-cloud-starter-sleuth",2.2.8.RELEASE,2.2.8.RELEASE,compile
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,"org.springframework.cloud","spring-cloud-starter-zipkin",2.2.8.RELEASE,2.2.8.RELEASE,compile
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,org.springframework.boot,spring-boot-starter-test,2.2.13.RELEASE,2.2.13.RELEASE,test
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,com.mysema.querydsl,querydsl-jpa,3.2.3,3.2.3,compile
github.com,"modernetraining/example-ecom-inventory-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-inventory-service/blob/main",inventory-service,main,com.mysema.querydsl,querydsl-apt,3.2.3,3.2.3,provided
github.com,"modernetraining/example-ecom-kyc-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-kyc-service/blob/main",kyc-service,main,org.springframework.boot,spring-boot-starter-web,2.4.13,2.4.13,compile
github.com,"modernetraining/example-ecom-kyc-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-kyc-service/blob/main",kyc-service,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-kyc-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-kyc-service/blob/main",kyc-service,main,com.h2database,h2,1.4.200,1.4.200,runtime
github.com,"modernetraining/example-ecom-kyc-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-kyc-service/blob/main",kyc-service,main,"org.springframework.cloud","spring-cloud-starter-sleuth",3.0.6,3.0.6,compile
github.com,"modernetraining/example-ecom-kyc-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-kyc-service/blob/main",kyc-service,main,"org.springframework.cloud","spring-cloud-sleuth-zipkin",3.0.6,3.0.6,compile
github.com,"modernetraining/example-ecom-kyc-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-kyc-service/blob/main",kyc-service,main,org.springframework.boot,spring-boot-starter-test,2.4.13,2.4.13,test
github.com,"modernetraining/example-ecom-kyc-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-kyc-service/blob/main",kyc-service,main,org.junit.vintage,junit-vintage-engine,5.7.2,5.7.2,test
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,org.springframework.boot,spring-boot-starter-web,2.6.15,2.6.15,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,org.springframework.boot,spring-boot-starter-amqp,2.6.15,2.6.15,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,org.springframework.boot,spring-boot-starter-mail,2.6.15,2.6.15,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,"org.springframework.cloud","spring-cloud-starter-sleuth",3.1.9,3.1.9,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,"org.springframework.cloud","spring-cloud-sleuth-zipkin",3.1.9,3.1.9,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,org.springframework.boot,spring-boot-starter-test,2.6.15,2.6.15,test
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,org.junit.vintage,junit-vintage-engine,5.8.2,5.8.2,test
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-api,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.example.ecom,order-api,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.example.ecom,ecom-security,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.example.ecom,ecom-rest-client,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,org.springframework.boot,spring-boot-starter-web,2.5.15,2.5.15,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,org.springframework.boot,"spring-boot-starter-data-jpa",2.5.15,2.5.15,compile
