# @name org.openrewrite.table.LanguageCompositionPerFolder
# @instanceName Per-folder language composition report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,folderPath,language,fileCount,lineCount,org1,org2
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/index,Java,2,94,Default,ALL
github.com,apache/maven-doxia,master,,Plain text,3,121,Default,ALL
github.com,apache/maven-doxia,master,,Xml,1,340,Default,ALL
github.com,apache/maven-doxia,master,,Groovy,1,0,Default,ALL
github.com,apache/maven-doxia,master,,Yaml,1,26,Default,ALL
github.com,apache/maven-doxia,master,doxia-modules/doxia-module-xdoc,Xml,1,112,Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/main/java/org/apache/maven/doxia,Java,3,36,Default,ALL
github.com,apache/maven-doxia,master,doxia-modules/doxia-module-apt/src/test/resources/test,Plain text,8,110,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-one-plugin/fml,Plain text,1,49,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-war-plugin/fml,Plain text,1,138,Default,ALL
github.com,apache/maven-doxia,master,doxia-modules/doxia-module-apt,Xml,1,37,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-changelog-plugin/fml,Plain text,1,180,Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/module,Java,1,56,Default,ALL
github.com,apache/maven-doxia,master,doxia-modules/doxia-module-fml/src/main/mdo,Plain text,1,153,Default,ALL
github.com,apache/maven-doxia,master,.github/workflows,Yaml,4,37,Default,ALL
github.com,apache/maven-doxia,master,doxia-modules/doxia-module-apt/src/site,Xml,1,15,Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/macro/toc,Java,1,168,Default,ALL
github.com,apache/maven-doxia,master,doxia-sink-api/src/main/java/org/apache/maven/doxia/sink,Java,6,269,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-docck-plugin/fml,Plain text,1,49,Default,ALL
github.com,apache/maven-doxia,master,doxia-modules/doxia-module-fml/src/test/java/org/apache/maven/doxia/module/fml,Java,2,264,Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/util,Java,4,239,Default,ALL
